web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978528-3201","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=34","Dr Mario","3.9/5","46,493"
"1613978396-2223","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=83","Mizushima Shinji No Dai Koushien [t1][hM02]","2.6/5","877"
"1613978237-1036","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=142","Wheel Of Fortune - Starring Vanna White","4.7/5","2,871"
"1613978466-2735","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=57","Ice Hockey (FDS Hack)","4.9/5","1,253"
"1613978520-3148","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=37","Duck Tales [T-Port1.0]","4/5","2,720"
"1613978192-711","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=159","ZZZ_UNK_zelda","4.8/5","4,218"
"1613978414-2353","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=76","Mario Tank & Sub (SMB1 Hack)","4/5","994"
"1613978253-1153","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=136","Tower Of Zalaga (Tower Of Druaga Hack)","5/5","678"
"1613978536-3268","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=31","Dokuganryuu Masamune [hFFE]","4.3/5","626"
"1613978406-2298","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=79","Mega Man 5","3.8/5","27,092"
"1613978474-2811","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=54","Home Alone","3.8/5","6,740"
"1613978542-3301","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=29","Deep Dungeon 4 - Off Course (Hack)","1/5","894"
"1613978461-2704","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=59","Jedi Mario Bros (SMB1 Hack)","3.9/5","2,415"
"1613978469-2761","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=56","Hyper Mario (SMB1 Hack) [a1]","4.3/5","3,329"
"1613978612-3795","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=4","Abadox","4.4/5","5,534"
"1613978420-2408","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=74","Mario Knight 2 (SMB2 Hack)","4.8/5","1,685"
"1613978542-3296","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=29","Deep Dungeon 3 - Yuushi Heno Tabi [hM02]","4.4/5","1,913"
"1613978612-3799","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=4","Abadox [T-Span0.99]","4.4/5","1,094"
"1613978433-2502","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=69","Lost Levels (Final) (SMB3 Hack)","4.5/5","5,227"
"1613978331-1735","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=107","Secret Scout","0/5","1,241"
"1613978388-2155","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=86","Musashi No Bouken [T-Eng_Partial]","0/5","633"
"1613978398-2243","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=82","Millipede","3.5/5","2,827"
"1613978567-3481","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=20","CardCaptor (Athena Hack)","4.3/5","1,246"
"1613978396-2225","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=83","Mo Dao Shi Yin Mou","4.3/5","1,052"
"1613978409-2331","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=78","Mega Man 2 [T-Port]","4.7/5","20,350"
"1613978315-1624","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=113","Spy Vs Spy","3.7/5","4,838"
"1613978412-2341","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=77","Mashou [t1]","2.6/5","906"
"1613978267-1252","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Teenage Mutant Ninja Turtles 3","3.7/5","156,139"
"1613978369-2016","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=93","PasoFami Demo 2 (TwinBee) (PD)","5/5","707"
"1613978612-3797","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=4","Abadox [T-Port1.0]","4.7/5","839"
"1613978533-3234","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=32","Donkey Kong (JU) [T-Norwegian_Just4fun]","4.4/5","3,746"
"1613978547-3351","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=27","Cybernoid - The Fighting Machine","5/5","1,962"
"1613978382-2123","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=88","NFL Football","4.3/5","2,917"
"1613978420-2411","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=74","Mario Mania (SMB1 Hack)","3/5","1,334"
"1613978617-3847","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=2","4 Nin Uchi Mahjong","4.8/5","1,885"
"1613978409-2330","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=78","Mega Man 2 [T-German][a1]","4.5/5","1,026"
"1613978208-826","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=153","ZZZ_UNK_FC3016A","0/5","632"
"1613978227-968","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=146","Zelda 2 - The Adventure Of Link [T-Span1.1.4]","4.2/5","2,124"
"1613978259-1203","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=134","Toad Bros (SMB1 Hack)","5/5","2,770"
"1613978578-3554","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Blackjack","5/5","1,855"
"1613978523-3162","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=36","Dragon Quest 34 (Hack)","4.2/5","2,163"
"1613978444-2580","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=65","Kujaku Ou [hM02]","0/5","953"
"1613978261-1224","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=133","Tiger-Heli","3.8/5","3,573"
