web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978219-906","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=149","ZZZ_UNK_Castle Of Dragon","3.5/5","1,052"
"1613978243-1079","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=140","VS Super Mario Bros (VS) [a1]","3.5/5","19,192"
"1613978366-1998","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=94","Pig River City Ransom (Hack)","4.5/5","637"
"1613978438-2534","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=67","Legend Of The Blob Brothers 2 V1.1 (SMB2 Hack) [a1]","0.5/5","1,184"
"1613978318-1646","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=112","Space Boy (Metal Fighter Hack) [hM03]","0/5","622"
"1613978533-3232","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=32","Donkey Kong (JU)","3.8/5","32,331"
"1613978435-2513","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=68","Lifeforce","4.3/5","14,732"
"1613978235-1026","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=143","World Boxing [hFFE]","3.7/5","902"
"1613978372-2032","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=92","Pac-Man [T-Port]","4.4/5","7,122"
"1613978213-853","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=151","ZZZ_UNK_Derby Stallion - Zenkoku Ban (Bad CHR Cd514067)","5/5","545"
"1613978299-1497","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=119","Super Chinese 3","0/5","1,202"
"1613978267-1254","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Teenage Mutant Ninja Turtles Tournament Fighters","4.3/5","16,028"
"1613978372-2036","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=92","Pac-Quest (Donkey Kong Hack)","2.2/5","1,289"
"1613978487-2893","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=49","Goal! Two","4.3/5","3,817"
"1613978469-2764","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=56","Hyper Sports","4/5","2,570"
"1613978297-1483","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=120","Super KKK Bros (SMB1 Hack) [a1]","2.7/5","1,157"
"1613978379-2095","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=89","Ninja Gaiden [T-Port]","4.8/5","1,996"
"1613978422-2422","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=73","Mario And Luigi (SMB1 Hack)","3.7/5","4,962"
"1613978372-2045","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=92","Paperboy","3.9/5","21,553"
"1613978435-2512","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=68","Lifeforce","4.4/5","5,935"
"1613978427-2457","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=71","Magic Block","3.2/5","1,129"
"1613978554-3389","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=25","Colour 2001 Streetfighter II","0/5","1,744"
"1613978562-3433","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=22","Castlevania 2 - Vengence On Hell (Hack)","4.6/5","1,722"
"1613978224-951","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=147","Zombie Nation","4.5/5","6,493"
"1613978336-1788","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=105","Sangokushi 2 - Haou No Tairiku [hFFE]","3.3/5","1,048"
"1613978412-2343","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=77","Master Chu & The Drunkard Hu (Joy Van)","0/5","572"
"1613978539-3272","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=30","Destiny Of An Emperor","3.8/5","5,579"
"1613978219-901","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=149","ZZZ_UNK_Boy And His Blob - Trouble On Blobolonia, A (Bad CH4)","0/5","613"
"1613978447-2610","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=64","Koopa Invaders (Space Invaders Hack)","3.5/5","1,398"
"1613978197-746","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=157","ZZZ_UNK_MUSCLE-- (65552)","4.2/5","629"
"1613978339-1800","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=104","Rollerball","4.8/5","1,450"
"1613978452-2644","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=62","Kero Kero Keroppi No Dai Bouken [T-Eng1.0][a1]","4.3/5","1,094"
"1613978487-2904","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=49","Golgo 13 - Dai 1 Shou - Kamigami No Tasogare [hFFE]","4.4/5","1,180"
"1613978382-2116","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=88","New Strange Mario Bros (SMB1 Hack)","4.9/5","5,750"
"1613978498-2988","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=45","Galaga Trek (Galaga Hack)","3.5/5","794"
"1613978620-3859","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=1","110-in-1 (Menu)","3.8/5","14,115"
"1613978490-2916","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=48","Getsufuu Maden [hFFE]","3.3/5","1,218"
"1613978564-3456","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=21","Castlevania","3.8/5","94,264"
"1613978396-2228","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=83","Moblin's Tale V1.0 (Zelda Hack)","0/5","619"
"1613978377-2078","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=90","No Moustache Mario (SMB1 Hack)","0/5","546"
"1613978216-875","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=150","ZZZ_UNK_Circus Caper (Bad CHR D5e7cfa3)","0/5","1,124"
"1613978248-1130","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=138","Uninvited","4.8/5","4,586"
"1613978466-2737","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=57","Ide Yousuke Meijin No Jissen Maajong [hFFE]","3/5","779"
"1613978469-2771","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=56","Ice Climber (VS)","4.4/5","2,533"
"1613978466-2738","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=57","Ikari","4.5/5","2,362"
"1613978307-1553","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=116","Street Fighter Zero 2","4.4/5","3,437"
"1613978531-3222","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=33","Double Dragon 2 - The Revenge","3.8/5","58,629"
"1613978328-1712","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=108","Shanghai 2","5/5","948"
"1613978609-3785","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=5","Afro Man (Mega Man 3 Hack)","3.7/5","4,317"
"1613978533-3250","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=32","Doraemon","4.9/5","2,205"
"1613978556-3394","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=24","Chuugoku Senseijutsu","5/5","658"
"1613978490-2912","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=48","Gemfire","4.4/5","1,906"
"1613978570-3495","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=19","Bugs Bunny Birthday Blowout, The","4.1/5","7,883"
"1613978310-1578","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=115","Stick River City Ransom (Hack)","5/5","748"
"1613978438-2539","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=67","Legend Of Zelda, The [T-German]","4.2/5","6,670"
"1613978567-3484","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=20","Carnage 2 (SMB2 Hack)","4.2/5","2,370"
"1613978612-3803","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=4","Acid Hackman (Pac-Man Hack)","4.2/5","3,347"
"1613978598-3711","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=9","AV (Card Game)","4.9/5","1,004"
"1613978222-913","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=148","ZZZ_UNK_2600 Bros (SMB1 Hack) (UNL)","3.7/5","1,408"
"1613978583-3607","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=14","Bible Adventures (V1.3)","3.8/5","4,117"
"1613978318-1641","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=112","Sonic Bros (SMB1 Hack)","4.3/5","7,945"
"1613978564-3461","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=21","Castlevania [T-Port]","3.9/5","6,422"
"1613978248-1124","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=138","Ultimate SMB3 (Final) (SMB3 Hack)","4.5/5","3,537"
"1613978575-3550","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=17","BombSweeper By SnowBro V0.5 (PD)","3.9/5","1,601"
"1613978315-1627","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=113","Sqoon","4.7/5","1,263"
"1613978194-717","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=158","ZZZ_UNK_Puzzler Map64or3(40976)","4.5/5","922"
"1613978358-1944","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=97","Pro Yakyuu - Family Stadium '88","0/5","790"
"1613978291-1444","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=122","Super Mario Bros 2 (Kaiser Pirate)","4.7/5","13,394"
"1613978507-3045","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=42","Final Fantasy 3 [T-Eng][a14]","0/5","696"
"1613978572-3524","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=18","Bubble Bobble (Hack)","4.7/5","3,045"
"1613978213-857","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=151","ZZZ_UNK_Dig Dug (Bad CHR 2f5d673b)","5/5","827"
"1613978382-2129","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=88","Nightmare On Elm Street, A [T-Port]","3.9/5","4,094"
"1613978422-2425","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=73","Mario Blob (SMB1 Hack)","5/5","789"
"1613978286-1395","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=124","Super Mario Bros 3 Challenge (SMB3 Hack) [a1]","3.6/5","7,389"
"1613978438-2533","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=67","Legend Of The Blob Brothers 2 V1.1 (SMB2 Hack)","5/5","1,229"
"1613978425-2450","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=72","Mario 15 (SMB1 Hack)","4/5","3,346"
"1613978461-2692","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=59","Isolated Warrior","4.2/5","2,753"
"1613978461-2699","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=59","Jajamaru Ninpou Chou [hM04]","4.4/5","1,123"
"1613978620-3861","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=1","115-in-1 [a1]","3.7/5","10,856"
"1613978583-3608","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=14","Bible Buffet (Ver 6.0)","4.5/5","1,691"
"1613978587-3619","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=13","Batman [T-Swed0.99]","3.8/5","7,648"
"1613978307-1566","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=116","Super 1000000-in-1 (Menu)","4.2/5","6,656"
"1613978501-3001","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=44","Formula One Built To Win","4.5/5","2,818"
"1613978578-3555","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Blackman 2 (SMB2 Hack)","4.4/5","1,212"
"1613978352-1901","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=99","Quest For The Missing Hat (SMB1 Hack)","0/5","492"
"1613978498-2979","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=45","Fuzzical Fighter [T-Eng1.0b]","5/5","842"
"1613978364-1991","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=95","Polar Rotation 8 Demo (PD)","0/5","563"
"1613978461-2694","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=59","Jack Nicklaus' Greatest 18 Holes Of Champ. Golf","4.5/5","1,685"
"1613978232-998","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=144","Wrecking Crew (VS) (Player 2 Mode)","5/5","2,438"
"1613978326-1699","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=109","Silk Worm","4.7/5","3,164"
"1613978334-1764","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=106","Sayoonara! By Chris Covell (PD)","3.8/5","882"
"1613978452-2651","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=62","Kickle Cubicle","4.5/5","5,166"
"1613978617-3849","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=2","52 Games","3.9/5","23,476"
"1613978487-2906","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=49","Golgo 13 - Top Secret Episode","5/5","2,747"
"1613978307-1555","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=116","Strider","3.7/5","2,684"
"1613978291-1445","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=122","Super Mario Bros 2 (LF36)","4.4/5","3,547"
"1613978227-960","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=146","Zanac","4.5/5","4,569"
"1613978342-1817","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=103","Robocop 4 (Robocop 3)","4.5/5","2,643"
"1613978592-3668","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=11","BAPSACRSTRKCGTF (Demo Phase 1) (AKA B00daw's Folly) (PD)","5/5","567"
"1613978401-2269","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=81","Midget Mario V1.2 (SMB1 Hack)","4.4/5","4,238"
"1613978377-2074","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=90","Nintendo World Championships 1990","3.9/5","6,582"
"1613978299-1510","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=119","Super Donkey Kong 2","4.1/5","5,519"
"1613978528-3207","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=34","Dr Mario (PC10)","4.6/5","4,659"
"1613978272-1299","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=129","Tamura Koushou Mahjong Seminar","4.5/5","570"
"1613978240-1053","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=141","Wai Wai World [T-Eng3.0]","4.5/5","4,501"
"1613978501-3011","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=44","Fucked Up North And South (Hack)","4/5","989"
"1613978595-3685","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=10","BadDudes Vs DragonNinja","4.1/5","2,644"
"1613978272-1309","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=129","Tecmo Baseball","3.1/5","3,582"
"1613978545-3323","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=28","Dash Galaxy In The Alien Asylum","4.4/5","1,876"
"1613978612-3801","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=4","Abarenbou Tengu (Zombie Nation)","4.6/5","1,330"
"1613978461-2698","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=59","Jail Bait (Pac-Man Hack)","4/5","746"
"1613978323-1677","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=110","Slack Man (Pac-Man Hack)","3.5/5","786"
"1613978350-1873","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=100","Rackets & Rivals","4.4/5","1,147"
"1613978269-1290","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=130","Teenage Mutant Ninja Turtles 2","3.5/5","48,017"
"1613978339-1797","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=104","Rocman X","3.8/5","3,947"
"1613978515-3109","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=39","Family Boxing [t1]","5/5","1,645"
"1613978369-2023","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=93","Peek-A-Boo Poker","4.5/5","3,454"
"1613978342-1825","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=103","Rockin' Kats (PC10)","4.6/5","946"
"1613978366-2004","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=94","Pikachu Y2K","4.2/5","1,331"
"1613978275-1326","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=128","Takahashi Meijin No Boukenjima","1.5/5","1,383"
"1613978358-1951","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=97","Proto Man (Mega Man 5 Hack)","4.1/5","4,940"
"1613978592-3661","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=11","Baltron","5/5","1,307"
"1613978471-2778","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=55","Hottaaman No Chitei Tanken","0/5","882"
"1613978510-3060","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=41","Final Fantasy 2 [hM02][T-Eng1.02][a1]","0/5","724"
"1613978372-2038","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=92","Pachio Kun 2 [hM02]","4/5","632"
"1613978581-3584","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=15","Bio Miracle Bokutte Upa (AKA Mario Baby)","4.6/5","2,059"
"1613978291-1436","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=122","Super Mario Bros 1.5 (SMB1 Hack)","4.1/5","14,424"
"1613978350-1890","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=100","Raster Test 1 (PD)","0/5","791"
"1613978372-2050","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=92","Papergirl (Paperboy Hack)","4.8/5","1,231"
"1613978435-2519","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=68","Lion King, The (Unl)","3.9/5","5,929"
"1613978280-1352","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=126","Super Pinball [hM02]","4.6/5","834"
"1613978477-2822","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=53","Hello Kitty World [T-Eng1.0][a1]","4.6/5","902"
"1613978243-1075","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=140","Volleyball (PC10)","4.1/5","774"
"1613978498-2984","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=45","Galaga","4.1/5","12,016"
"1613978531-3214","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=33","Double Dare","4.4/5","2,986"
"1613978562-3449","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=22","Chaos World [T-Eng0.98]","4.8/5","1,657"
"1613978559-3423","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=23","Chocobo DW V0.3 (Dragon Warrior Hack)","4.7/5","964"
"1613978235-1012","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=143","Win, Lose Or Draw","4/5","1,431"
"1613978559-3416","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=23","Chinese Character Demo (PD)","0/5","1,079"
"1613978379-2104","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=89","Ninja Hattori Kun","3.6/5","10,180"
"1613978401-2261","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=81","Mezase Pachi Pro - Pachio Kun [hM02]","2.5/5","1,006"
"1613978280-1359","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=126","Super Santa Bros (SMB1 Hack)","4.5/5","2,399"
"1613978267-1270","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Tennis (VS)","2.8/5","1,310"
"1613978458-2681","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=60","Journey To Silius [T-Span1.0]","4.8/5","1,016"
"1613978474-2794","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=54","Highway Star [hM02]","4.2/5","1,374"
"1613978458-2678","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=60","Joshua (Ver 6.0)","4.6/5","1,472"
"1613978554-3374","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=25","Clu Clu Land (VS)","2.9/5","2,361"
"1613978307-1570","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=116","Super 42-in-1","4.3/5","5,030"
"1613978358-1943","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=97","Pro Yakyuu - Family Stadium '85 PAL ('87 Hack)","3.3/5","552"
"1613978393-2206","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=84","Monster Party","4.9/5","6,165"
"1613978479-2851","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=52","Hatris","3.7/5","1,928"
"1613978253-1160","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=136","Track & Field In Barcelona","3.9/5","2,841"
"1613978323-1685","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=110","SMB1 Hard Type (SMB1 Hack) [a4]","3.4/5","1,003"
"1613978466-2750","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=57","Ikki [a2]","4.3/5","529"
"1613978267-1260","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Tenchi Wo Kurau 2 - Shokatsu Koumei Den","5/5","2,476"
"1613978283-1377","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=125","Super Momotarou Dentetsu [hM02]","4/5","1,038"
"1613978230-979","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=145","Yo! Noid [T-Port]","4.5/5","5,378"
"1613978550-3369","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=26","Cool World","4.7/5","3,469"
"1613978194-731","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=158","ZZZ_UNK_Seifuku Hen - Shisen Mahjong (UNL)","5/5","894"
"1613978578-3562","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Blink 2 - Lost In Tokyo (Gauntlet Hack)","5/5","759"
"1613978528-3208","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=34","Dr Mario (PC10) [a1]","3.8/5","1,539"
"1613978269-1275","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=130","Tecmo NBA Basketball","4.1/5","8,730"
"1613978444-2582","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=65","Kung Fu","4.2/5","52,607"
"1613978578-3559","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Blaster Master","3.9/5","16,699"
"1613978369-2025","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=93","Penguin Kun Wars","4.5/5","1,848"
