web-scraper-order,web-scraper-start-url,game,game-href,image-src,name,file_size,region,genre,download_count,rating,rate_count,download_url,download_url-href,real_url
"1613990656-4762","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=119","Super Dirt Bros (SMB1 Hack)","https://romsmania.cc/roms/nintendo/super-dirt-bros-smb1-hack-242376","https://romsmania.cc/statics/assets/covers/nintendo/14812front-6850.jpg","Super Dirt Bros (SMB1 Hack)","30.0KB","USA","null","1,931","3.4","7","Download","https://romsmania.cc/download/roms/nintendo/super-dirt-bros-smb1-hack-242376","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Super%20Dirt%20Bros%20%28SMB1%20Hack%29.zip"
"1613987914-4283","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=143","Wolverine","https://romsmania.cc/roms/nintendo/wolverine-242855","https://romsmania.cc/statics/assets/covers/nintendo/49929front-4537.jpg","Wolverine","100.9KB","USA","null","11,319","4.3","25","Download","https://romsmania.cc/download/roms/nintendo/wolverine-242855","https://s2roms.cc/s3roms/Nintendo/USA/U-Z/Wolverine%20%28U%29.zip"
"1613999243-5959","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=59","Jesus - Kyoufu No Bio Monster [hM02]","https://romsmania.cc/roms/nintendo/jesus-kyoufu-no-bio-monster-hm02-241175","https://romsmania.cc/statics/assets/covers/nintendo/jesus-kyoufu-no-bio-monster-nintendo.jpg","Jesus - Kyoufu No Bio Monster [hM02]","172.9KB","Japan","Adventure","1,091","5","3","Download","https://romsmania.cc/download/roms/nintendo/jesus-kyoufu-no-bio-monster-hm02-241175","https://s2roms.cc/s3roms/Nintendo/Pirate/Jesus%20-%20Kyoufu%20no%20Bio%20Monster%20%28J%29%20%5Bp1%5D%5BhM02%5D.zip"
"1613996948-5605","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=77","Master Chu & The Drunkard Hu (Joy Van)","https://romsmania.cc/roms/nintendo/master-chu-the-drunkard-hu-joy-van-241528","https://romsmania.cc/statics/assets/covers/nintendo/49414front-7181.jpg","Master Chu & The Drunkard Hu (Joy Van)","31.3KB","USA","null","572","0","0","Download","https://romsmania.cc/download/roms/nintendo/master-chu-the-drunkard-hu-joy-van-241528","https://s2roms.cc/s3roms/Nintendo/UNK/Master%20Chu%20%26%20The%20Drunkard%20Hu%20%28Joy%20Van%29.zip"
"1613989129-4507","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=132","Tetris (Unl)","https://romsmania.cc/roms/nintendo/tetris-unl-242633","https://romsmania.cc/statics/assets/covers/nintendo/22277front-5044.jpg","Tetris (Unl)","22.9KB","USA","null","16,628","4","8","Download","https://romsmania.cc/download/roms/nintendo/tetris-unl-242633","https://s2roms.cc/s3roms/Nintendo/Unlicensed/Tetris%20%28Unl%29%20%28U%29.zip"
"1614000698-6164","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=49","Golgo 13 - Dai 1 Shou - Kamigami No Tasogare [hFFE]","https://romsmania.cc/roms/nintendo/golgo-13-dai-1-shou-kamigami-no-tasogare-hffe-240969","https://romsmania.cc/statics/assets/covers/nintendo/golgo-13-dai-1-shou-kamigami-no-tasogare-nintendo.jpg","Golgo 13 - Dai 1 Shou - Kamigami No Tasogare [hFFE]","117.8KB","Japan","Action","1,180","4.4","4","Download","https://romsmania.cc/download/roms/nintendo/golgo-13-dai-1-shou-kamigami-no-tasogare-hffe-240969","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Golgo%2013%20-%20Dai%201%20Shou%20-%20Kamigami%20no%20Tasogare%20%28J%29%20%5BhFFE%5D.zip"
"1613996766-5578","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=78","Mega Man 2 [T-German][a1]","https://romsmania.cc/roms/nintendo/mega-man-2-t-german-a1-241555","https://romsmania.cc/statics/assets/covers/nintendo/megaman2-ge-4729.jpg","Mega Man 2 [T-German][a1]","129.3KB","USA","null","1,026","4.5","4","Download","https://romsmania.cc/download/roms/nintendo/mega-man-2-t-german-a1-241555","https://s2roms.cc/s3roms/Nintendo/Translated/Mega%20Man%202%20%28U%29%20%5BT-German%5D%5Ba1%5D.zip"
"1614048887-6737","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=20","Carnage 3 (SMB3 Hack) [a1]","https://romsmania.cc/roms/nintendo/carnage-3-smb3-hack-a1-240391","https://romsmania.cc/statics/assets/covers/nintendo/carnage-nintendo.png","Carnage 3 (SMB3 Hack) [a1]","219.1KB","USA","Action, Platform","1,037","4.6","10","Download","https://romsmania.cc/download/roms/nintendo/carnage-3-smb3-hack-a1-240391","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Carnage%203%20%28SMB3%20Hack%29%20%5Ba1%5D.zip"
"1613988326-4359","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=139","Videomation","https://romsmania.cc/roms/nintendo/videomation-242779","https://romsmania.cc/statics/assets/covers/nintendo/22292front-4505.jpg","Videomation","17.0KB","USA","null","1,427","5","3","Download","https://romsmania.cc/download/roms/nintendo/videomation-242779","https://s2roms.cc/s3roms/Nintendo/USA/U-Z/Videomation%20%28U%29.zip"
"1614039615-6541","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=30","Dick Kids (MC Kids Hack)","https://romsmania.cc/roms/nintendo/dick-kids-mc-kids-hack-240588","https://romsmania.cc/statics/assets/covers/nintendo/dick-kids-(mc-kids-hack)-nintendo.png","Dick Kids (MC Kids Hack)","153.1KB","USA","Platform","1,601","4.5","17","Download","https://romsmania.cc/download/roms/nintendo/dick-kids-mc-kids-hack-240588","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Dick%20Kids%20%28MC%20Kids%20Hack%29.zip"
"1614001091-6219","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=46","Ganon's Revenge V1.1 (Zelda Hack)","https://romsmania.cc/roms/nintendo/ganon-s-revenge-v1-1-zelda-hack-240915","https://romsmania.cc/statics/assets/covers/nintendo/ganon-s-revenge-nintendo.png","Ganon's Revenge V1.1 (Zelda Hack)","62.4KB","USA","Action, Adventure","1,906","4.6","7","Download","https://romsmania.cc/download/roms/nintendo/ganon-s-revenge-v1-1-zelda-hack-240915","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Ganon%27s%20Revenge%20v1.1%20%28Zelda%20Hack%29.zip"
"1613987579-4218","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=146","Zelda 2 - The Adventure Of Link [T-Swed][a1]","https://romsmania.cc/roms/nintendo/zelda-2-the-adventure-of-link-t-swed-a1-242920","https://romsmania.cc/statics/assets/covers/nintendo/zelda2nescart480-4572.jpg","Zelda 2 - The Adventure Of Link [T-Swed][a1]","84.9KB","USA","null","1,570","4.6","10","Download","https://romsmania.cc/download/roms/nintendo/zelda-2-the-adventure-of-link-t-swed-a1-242920","https://s2roms.cc/s3roms/Nintendo/Translated/Zelda%202%20-%20The%20Adventure%20of%20Link%20%28U%29%20%5BT-Swed%5D%5Ba1%5D.zip"
"1613999145-5943","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=60","Joy Mecha Fight","https://romsmania.cc/roms/nintendo/joy-mecha-fight-241191","https://romsmania.cc/statics/assets/covers/nintendo/joy-mecha-fight-nintendo.jpg","Joy Mecha Fight","227.6KB","Japan","Action","1,144","4.1","5","Download","https://romsmania.cc/download/roms/nintendo/joy-mecha-fight-241191","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Joy%20Mecha%20Fight%20%28J%29%20%5Bh1%5D.zip"
"1614000506-6139","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=50","Great Adventures Of Weiny, The (Mario Bros Hack)","https://romsmania.cc/roms/nintendo/great-adventures-of-weiny-the-mario-bros-hack-240994","https://romsmania.cc/statics/assets/covers/nintendo/great-adventures-of-weiny-the-(mario-bros-hack)-nintendo.png","Great Adventures Of Weiny, The (Mario Bros Hack)","15.6KB","USA","Action, Adventure","818","4.9","4","Download","https://romsmania.cc/download/roms/nintendo/great-adventures-of-weiny-the-mario-bros-hack-240994","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Great%20Adventures%20of%20Weiny%2C%20The%20%28Mario%20Bros%20Hack%29.zip"
"1613991664-4944","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=110","SMB1 Hard Type (SMB1 Hack) [a3]","https://romsmania.cc/roms/nintendo/smb1-hard-type-smb1-hack-a3-242192","https://romsmania.cc/statics/assets/covers/nintendo/k2-dd30b069-f33e-4184-866a-7080e79f84b6v1-6761.jpg","SMB1 Hard Type (SMB1 Hack) [a3]","30.0KB","USA","null","613","2.9","4","Download","https://romsmania.cc/download/roms/nintendo/smb1-hard-type-smb1-hack-a3-242192","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/SMB1%20Hard%20Type%20%28SMB1%20Hack%29%20%5Ba3%5D.zip"
"1613995660-5394","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=88","New Ghostbusters 2 [hFFE]","https://romsmania.cc/roms/nintendo/new-ghostbusters-2-hffe-241740","https://romsmania.cc/statics/assets/covers/nintendo/newghostbusters2coverart-6601.png","New Ghostbusters 2 [hFFE]","104.4KB","Japan","null","1,157","5","4","Download","https://romsmania.cc/download/roms/nintendo/new-ghostbusters-2-hffe-241740","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/New%20Ghostbusters%202%20%28J%29%20%5BhFFE%5D.zip"
"1613993761-5109","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=102","Rikers Quest (SMB1 Hack)","https://romsmania.cc/roms/nintendo/rikers-quest-smb1-hack-242028","https://romsmania.cc/statics/assets/covers/nintendo/yonoidnescover-6705.png","Rikers Quest (SMB1 Hack)","30.0KB","USA","null","742","3.3","2","Download","https://romsmania.cc/download/roms/nintendo/rikers-quest-smb1-hack-242028","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Rikers%20Quest%20%28SMB1%20Hack%29.zip"
"1613991632-4937","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=110","Smurfs, The","https://romsmania.cc/roms/nintendo/smurfs-the-242200","https://romsmania.cc/statics/assets/covers/nintendo/42802front-4339.jpg","Smurfs, The","85.2KB","Europe","null","3,809","3.4","10","Download","https://romsmania.cc/download/roms/nintendo/smurfs-the-242200","https://s2roms.cc/s3roms/Nintendo/USA/P-T/Smurfs%2C%20The%20%28E%29%20%5B%21%5D.zip"
"1613999535-6003","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=57","Ike Ike! Nekketsu Hockey Bu - Subette Koronde Dai Rantou [T-Eng0.99]","https://romsmania.cc/roms/nintendo/ike-ike-nekketsu-hockey-bu-subette-koronde-dai-rantou-t-eng0-99-241131","https://romsmania.cc/statics/assets/covers/nintendo/ike-ike!-nekketsu-hockey-bu-subette-koronde-dai-rantou-nintendo.jpg","Ike Ike! Nekketsu Hockey Bu - Subette Koronde Dai Rantou [T-Eng0.99]","128.0KB","Japan","Sports","1,719","4.6","10","Download","https://romsmania.cc/download/roms/nintendo/ike-ike-nekketsu-hockey-bu-subette-koronde-dai-rantou-t-eng0-99-241131","https://s2roms.cc/s3roms/Nintendo/Translated/Ike%20Ike%21%20Nekketsu%20Hockey%20Bu%20-%20Subette%20Koronde%20Dai%20Rantou%20%28J%29%20%5BT-Eng0.99%5D.zip"
"1614049930-6975","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=8","ASCII Mario (Final) (SMB1 Hack)","https://romsmania.cc/roms/nintendo/ascii-mario-final-smb1-hack-240153","https://romsmania.cc/statics/assets/covers/nintendo/ascii-mario-(final)-nintendo.png","ASCII Mario (Final) (SMB1 Hack)","26.7KB","USA","Action","1,712","4","13","Download","https://romsmania.cc/download/roms/nintendo/ascii-mario-final-smb1-hack-240153","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/ASCII%20Mario%20%28Final%29%20%28SMB1%20Hack%29.zip"
"1613986636-4051","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=155","ZZZ_UNK_FC4253","https://romsmania.cc/roms/nintendo/zzz-unk-fc4253-243087","https://romsmania.cc/statics/assets/covers/nintendo/nes-megaman-5084.jpg","ZZZ_UNK_FC4253","126.9KB","USA","null","596","0","0","Download","https://romsmania.cc/download/roms/nintendo/zzz-unk-fc4253-243087","https://s2roms.cc/s3roms/Nintendo/Unclass/ZZZ_UNK_FC4253.zip"
"1614050303-7063","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=4","Acid Bros (SMB1 Hack)","https://romsmania.cc/roms/nintendo/acid-bros-smb1-hack-240065","https://romsmania.cc/statics/assets/covers/nintendo/acid-bros-(smb1-hack)-nintendo.png","Acid Bros (SMB1 Hack)","29.8KB","USA","Action, Platform","3,136","4.7","25","Download","https://romsmania.cc/download/roms/nintendo/acid-bros-smb1-hack-240065","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Acid%20Bros%20%28SMB1%20Hack%29.zip"
"1613990201-4691","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=123","Super Mario Bros 3","https://romsmania.cc/roms/nintendo/super-mario-bros-3-242447","https://romsmania.cc/statics/assets/covers/nintendo/super-mario-bros-3-japan-nes-cover.jpg","Super Mario Bros 3","217.1KB","Japan","Platform","24,008","3.9","138","Download","https://romsmania.cc/download/roms/nintendo/super-mario-bros-3-242447","https://s2roms.cc/s3roms/Nintendo/Pirate/Super%20Mario%20Bros%203%20%28J%29%20%5Bp1%5D.zip"
"1613987606-4224","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=146","Zelda 2 - The Adventure Of Link","https://romsmania.cc/roms/nintendo/zelda-2-the-adventure-of-link-242921","https://romsmania.cc/statics/assets/covers/nintendo/22310front-4560.jpg","Zelda 2 - The Adventure Of Link","84.8KB","USA","null","195,464","4.1","874","Download","https://romsmania.cc/download/roms/nintendo/zelda-2-the-adventure-of-link-242921","https://s2roms.cc/s3roms/Nintendo/USA/U-Z/Zelda%202%20-%20The%20Adventure%20of%20Link%20%28U%29.zip"
"1614001455-6268","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=44","Fong Shen Bang - Zhu Lu Zhi Zhan","https://romsmania.cc/roms/nintendo/fong-shen-bang-zhu-lu-zhi-zhan-240865","https://romsmania.cc/statics/assets/nocover.png","Fong Shen Bang - Zhu Lu Zhi Zhan","423.7KB","USA","null","476","0","0","Download","https://romsmania.cc/download/roms/nintendo/fong-shen-bang-zhu-lu-zhi-zhan-240865","https://s2roms.cc/s3roms/Nintendo/UNK/Fong%20Shen%20Bang%20-%20Zhu%20Lu%20Zhi%20Zhan.zip"
"1614000448-6133","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=51","Gremlins 2 - The New Batch","https://romsmania.cc/roms/nintendo/gremlins-2-the-new-batch-241000","https://romsmania.cc/statics/assets/covers/nintendo/gremlins-2-the-new-batch-nintendo.PNG","Gremlins 2 - The New Batch","188.4KB","USA","Platform, Puzzle, Shooter","9,078","4.3","42","Download","https://romsmania.cc/download/roms/nintendo/gremlins-2-the-new-batch-241000","https://s2roms.cc/s3roms/Nintendo/USA/G-K/Gremlins%202%20-%20The%20New%20Batch%20%28U%29.zip"
"1614050472-7102","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=2","31-in-1 (Menu)","https://romsmania.cc/roms/nintendo/31-in-1-menu-240026","https://romsmania.cc/statics/assets/covers/nintendo/31-in-1-(j)-nintendo.png","31-in-1 (Menu)","15.1KB","Japan","Compilation","9,141","3.7","137","Download","https://romsmania.cc/download/roms/nintendo/31-in-1-menu-240026","https://s2roms.cc/s3roms/Nintendo/Unlicensed/31-in-1%20%28Menu%29%20%28J%29.zip"
"1613989321-4539","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=130","Teenage Mutant Ninja Turtles 2","https://romsmania.cc/roms/nintendo/teenage-mutant-ninja-turtles-2-242600","https://romsmania.cc/statics/assets/covers/nintendo/49800front-5442.jpg","Teenage Mutant Ninja Turtles 2","247.2KB","USA","null","11,377","4.1","22","Download","https://romsmania.cc/download/roms/nintendo/teenage-mutant-ninja-turtles-2-242600","https://s2roms.cc/s3roms/Nintendo/Pirate/Teenage%20Mutant%20Ninja%20Turtles%202%20%28U%29%20%5Bp1%5D.zip"
"1613993990-5139","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=100","Raster Chroma Luma Test (PD)","https://romsmania.cc/roms/nintendo/raster-chroma-luma-test-pd-241998","https://romsmania.cc/statics/assets/covers/nintendo/atari2600ntscpalettecolortestchart-5816.png","Raster Chroma Luma Test (PD)","3.3KB","USA","null","783","5","1","Download","https://romsmania.cc/download/roms/nintendo/raster-chroma-luma-test-pd-241998","https://s2roms.cc/s3roms/Nintendo/PD/Raster%20Chroma%20Luma%20Test%20%28PD%29.zip"
"1613998355-5817","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=66","Legend Of Sean, The (Master Chu & The Drunkard Hu Hack)","https://romsmania.cc/roms/nintendo/legend-of-sean-the-master-chu-the-drunkard-hu-hack-241317","https://romsmania.cc/statics/assets/covers/nintendo/zelda-case-6150.jpg","Legend Of Sean, The (Master Chu & The Drunkard Hu Hack)","25.5KB","USA","null","1,244","2","1","Download","https://romsmania.cc/download/roms/nintendo/legend-of-sean-the-master-chu-the-drunkard-hu-hack-241317","https://s2roms.cc/s3roms/Nintendo/Hacks/A-L/Legend%20of%20Sean%2C%20The%20%28Master%20Chu%20%26%20The%20Drunkard%20Hu%20Hack%29.zip"
"1613999795-6044","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=55","Hudson's Adventure Island 2","https://romsmania.cc/roms/nintendo/hudson-s-adventure-island-2-241090","https://romsmania.cc/statics/assets/covers/nintendo/hudsons-adventure-island-2-nintendo.jpg","Hudson's Adventure Island 2","124.0KB","Europe","Platform","5,358","4.1","13","Download","https://romsmania.cc/download/roms/nintendo/hudson-s-adventure-island-2-241090","https://s2roms.cc/s3roms/Nintendo/USA/G-K/Hudson%27s%20Adventure%20Island%202%20%28E%29.zip"
"1613990477-4735","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=121","Super Mario 4 (SMB1 Hack) [a3]","https://romsmania.cc/roms/nintendo/super-mario-4-smb1-hack-a3-242401","https://romsmania.cc/statics/assets/covers/nintendo/14812front-6868.jpg","Super Mario 4 (SMB1 Hack) [a3]","30.8KB","USA","null","4,493","4.5","13","Download","https://romsmania.cc/download/roms/nintendo/super-mario-4-smb1-hack-a3-242401","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Super%20Mario%204%20%28SMB1%20Hack%29%20%5Ba3%5D.zip"
"1614001337-6251","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=45","Fushigi No Umi No Nadia [T-Eng_J2E]","https://romsmania.cc/roms/nintendo/fushigi-no-umi-no-nadia-t-eng-j2e-240883","https://romsmania.cc/statics/assets/covers/nintendo/fushigi-no-umi-no-nadia-nintendo.jpg","Fushigi No Umi No Nadia [T-Eng_J2E]","99.1KB","Japan","Strategy","749","2","1","Download","https://romsmania.cc/download/roms/nintendo/fushigi-no-umi-no-nadia-t-eng-j2e-240883","https://s2roms.cc/s3roms/Nintendo/Translated/Fushigi%20no%20Umi%20no%20Nadia%20%28J%29%20%5BT-Eng_J2E%5D.zip"
"1613997730-5719","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=71","Mahjong (VS) [a1]","https://romsmania.cc/roms/nintendo/mahjong-vs-a1-241415","https://romsmania.cc/statics/assets/covers/nintendo/40538front-3552.jpg","Mahjong (VS) [a1]","20.3KB","USA","null","1,092","0","0","Download","https://romsmania.cc/download/roms/nintendo/mahjong-vs-a1-241415","https://s2roms.cc/s3roms/Nintendo/VS/Mahjong%20%28VS%29%20%5Ba1%5D.zip"
"1613998726-5876","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=64","King's Knight [T-French][a1]","https://romsmania.cc/roms/nintendo/king-s-knight-t-french-a1-241258","https://romsmania.cc/statics/assets/covers/nintendo/king27sknight0-4761.png","King's Knight [T-French][a1]","39.7KB","USA","null","1,118","5","4","Download","https://romsmania.cc/download/roms/nintendo/king-s-knight-t-french-a1-241258","https://s2roms.cc/s3roms/Nintendo/Translated/King%27s%20Knight%20%28U%29%20%5BT-French%5D%5Ba1%5D.zip"
"1614001135-6224","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=46","Ganbare Goemon! - Karakuri Douchuu [hFFE][T-Eng]","https://romsmania.cc/roms/nintendo/ganbare-goemon-karakuri-douchuu-hffe-t-eng-240909","https://romsmania.cc/statics/assets/covers/nintendo/ganbare-goemon!-karakuri-douchuu-nintendo.jpg","Ganbare Goemon! - Karakuri Douchuu [hFFE][T-Eng]","106.5KB","Japan","Action","792","5","1","Download","https://romsmania.cc/download/roms/nintendo/ganbare-goemon-karakuri-douchuu-hffe-t-eng-240909","https://s2roms.cc/s3roms/Nintendo/Translated/Ganbare%20Goemon%21%20-%20Karakuri%20Douchuu%20%28J%29%20%5BhFFE%5D%5BT-Eng%5D.zip"
"1613991515-4914","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=112","Solomon No Kagi [T-Span0.99]","https://romsmania.cc/roms/nintendo/solomon-no-kagi-t-span0-99-242223","https://romsmania.cc/statics/assets/covers/nintendo/b544dc1c96f0t-4660.jpg","Solomon No Kagi [T-Span0.99]","32.7KB","Japan","null","1,108","3.7","3","Download","https://romsmania.cc/download/roms/nintendo/solomon-no-kagi-t-span0-99-242223","https://s2roms.cc/s3roms/Nintendo/Translated/Solomon%20no%20Kagi%20%28J%29%20%5BT-Span0.99%5D.zip"
"1613997867-5741","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=70","Mach Rider","https://romsmania.cc/roms/nintendo/mach-rider-241393","https://romsmania.cc/statics/assets/covers/nintendo/49392front-4082.jpg","Mach Rider","24.7KB","Europe","null","3,374","4.6","10","Download","https://romsmania.cc/download/roms/nintendo/mach-rider-241393","https://s2roms.cc/s3roms/Nintendo/USA/L-O/Mach%20Rider%20%28E%29%20%5B%21%5D.zip"
"1613998741-5878","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=63","King's Knight [T-French]","https://romsmania.cc/roms/nintendo/king-s-knight-t-french-241256","https://romsmania.cc/statics/assets/covers/nintendo/kings-knight-j-nintendo.jpg","King's Knight [T-French]","40.1KB","Japan","Action, Shooter","893","4.6","9","Download","https://romsmania.cc/download/roms/nintendo/king-s-knight-t-french-241256","https://s2roms.cc/s3roms/Nintendo/Translated/King%27s%20Knight%20%28J%29%20%5BT-French%5D.zip"
"1613997805-5731","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=71","Magic Block","https://romsmania.cc/roms/nintendo/magic-block-241403","https://romsmania.cc/statics/assets/covers/nintendo/magic-block-[p1]-nintendo.png","Magic Block","26.4KB","USA","Puzzle","1,129","3.2","3","Download","https://romsmania.cc/download/roms/nintendo/magic-block-241403","https://s2roms.cc/s3roms/Nintendo/Pirate/Magic%20Block%20%5Bp1%5D.zip"
"1614007430-6515","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=32","Donkey Kong (JU)","https://romsmania.cc/roms/nintendo/donkey-kong-ju-240620","https://romsmania.cc/statics/assets/covers/nintendo/donkey-kong-nintendo.jpg","Donkey Kong (JU)","15.5KB","USA","Action, Platform","12,411","3.7","85","Download","https://romsmania.cc/download/roms/nintendo/donkey-kong-ju-240620","https://s2roms.cc/s3roms/Nintendo/World/Donkey%20Kong%20%28JU%29.zip"
"1613997103-5629","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=76","Mario Zelda (Mario Bros Hack)","https://romsmania.cc/roms/nintendo/mario-zelda-mario-bros-hack-241505","https://romsmania.cc/statics/assets/covers/nintendo/22019front-6485.jpg","Mario Zelda (Mario Bros Hack)","15.8KB","USA","null","6,183","4.3","27","Download","https://romsmania.cc/download/roms/nintendo/mario-zelda-mario-bros-hack-241505","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Mario%20Zelda%20%28Mario%20Bros%20Hack%29.zip"
"1613994564-5229","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=96","Popeye (JU) (PRG 0) [T-German]","https://romsmania.cc/roms/nintendo/popeye-ju-prg-0-t-german-241904","https://romsmania.cc/statics/assets/covers/nintendo/popeye-4684.jpg","Popeye (JU) (PRG 0) [T-German]","15.9KB","USA","null","881","4.1","6","Download","https://romsmania.cc/download/roms/nintendo/popeye-ju-prg-0-t-german-241904","https://s2roms.cc/s3roms/Nintendo/Translated/Popeye%20%28JU%29%20%28PRG%200%29%20%5BT-German%5D.zip"
"1614049072-6780","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=18","Bubble Bobble [T-French]","https://romsmania.cc/roms/nintendo/bubble-bobble-t-french-240348","https://romsmania.cc/statics/assets/covers/nintendo/bubble-bobble-nintendo.jpg","Bubble Bobble [T-French]","68.9KB","USA","Action, Platform","2,013","4.9","11","Download","https://romsmania.cc/download/roms/nintendo/bubble-bobble-t-french-240348","https://s2roms.cc/s3roms/Nintendo/Translated/Bubble%20Bobble%20%28U%29%20%5BT-French%5D.zip"
"1614047702-6566","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=29","Deep Dungeon 4 - Kuro No Youjutsushi [T-Eng]","https://romsmania.cc/roms/nintendo/deep-dungeon-4-kuro-no-youjutsushi-t-eng-240563","https://romsmania.cc/statics/assets/covers/nintendo/deep-dungeon-4-kuro-no-youjutsushi-nintendo.jpg","Deep Dungeon 4 - Kuro No Youjutsushi [T-Eng]","92.3KB","Japan","Role Playing","1,099","4.8","2","Download","https://romsmania.cc/download/roms/nintendo/deep-dungeon-4-kuro-no-youjutsushi-t-eng-240563","https://s2roms.cc/s3roms/Nintendo/Translated/Deep%20Dungeon%204%20-%20Kuro%20no%20Youjutsushi%20%28J%29%20%5BT-Eng%5D.zip"
"1614048732-6702","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=22","Challenger","https://romsmania.cc/roms/nintendo/challenger-240427","https://romsmania.cc/statics/assets/covers/nintendo/challenger-nintendo.jpg","Challenger","25.2KB","Japan","Action","2,746","4.2","18","Download","https://romsmania.cc/download/roms/nintendo/challenger-240427","https://s2roms.cc/s3roms/Nintendo/Pirate/Challenger%20%28J%29%20%5Bp1%5D.zip"
"1613997672-5709","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=72","Mappy","https://romsmania.cc/roms/nintendo/mappy-241425","https://romsmania.cc/statics/assets/covers/nintendo/40541front-5726.jpg","Mappy","14.6KB","Japan","null","21,815","4","97","Download","https://romsmania.cc/download/roms/nintendo/mappy-241425","https://s2roms.cc/s3roms/Nintendo/Pirate/Mappy%20%28J%29%20%5Bp1%5D.zip"
