web-scraper-order,web-scraper-start-url,game,game-href,image-src,name,file_size,region,genre,download_count,rating,rate_count,download_url,download_url-href,real_url
"1613996481-5530","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=81","Metroid TSI (Hack)","https://romsmania.cc/roms/nintendo/metroid-tsi-hack-241604","https://romsmania.cc/statics/assets/covers/nintendo/14588front-6534.jpg","Metroid TSI (Hack)","57.3KB","USA","null","1,796","0","0","Download","https://romsmania.cc/download/roms/nintendo/metroid-tsi-hack-241604","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Metroid%20TSI%20%28Hack%29.zip"
"1613997717-5717","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=71","Maison Ikkoku [hM02]","https://romsmania.cc/roms/nintendo/maison-ikkoku-hm02-241417","https://romsmania.cc/statics/assets/covers/nintendo/311266front-7077.jpg","Maison Ikkoku [hM02]","141.1KB","Japan","null","759","3.2","3","Download","https://romsmania.cc/download/roms/nintendo/maison-ikkoku-hm02-241417","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Maison%20Ikkoku%20%28J%29%20%5BhM02%5D.zip"
"1614047968-6584","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=28","Darkwing Duck [T-German0.99]","https://romsmania.cc/roms/nintendo/darkwing-duck-t-german0-99-240544","https://romsmania.cc/statics/assets/covers/nintendo/darkwing-duck-nintendo.jpg","Darkwing Duck [T-German0.99]","121.7KB","USA","Action, Platform","2,421","4.1","17","Download","https://romsmania.cc/download/roms/nintendo/darkwing-duck-t-german0-99-240544","https://s2roms.cc/s3roms/Nintendo/Translated/Darkwing%20Duck%20%28U%29%20%5BT-German0.99%5D.zip"
"1613990615-4756","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=120","Super Dragon Bros (SMB1 Hack)","https://romsmania.cc/roms/nintendo/super-dragon-bros-smb1-hack-242381","https://romsmania.cc/statics/assets/covers/nintendo/14812front-6851.jpg","Super Dragon Bros (SMB1 Hack)","30.1KB","USA","null","2,096","5","2","Download","https://romsmania.cc/download/roms/nintendo/super-dragon-bros-smb1-hack-242381","https://s2roms.cc/s3roms/Nintendo/Hacks/M-Z/Super%20Dragon%20Bros%20%28SMB1%20Hack%29.zip"
"1613987909-4282","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=143","World Boxing [hFFE]","https://romsmania.cc/roms/nintendo/world-boxing-hffe-242856","https://romsmania.cc/statics/assets/covers/nintendo/311404front-5474.jpg","World Boxing [hFFE]","126.4KB","Japan","null","902","3.7","6","Download","https://romsmania.cc/download/roms/nintendo/world-boxing-hffe-242856","https://s2roms.cc/s3roms/Nintendo/Pirate/World%20Boxing%20%28J%29%20%5BhFFE%5D%5Bp1%5D.zip"
"1613998001-5762","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=69","Lu Ye Xian Zong","https://romsmania.cc/roms/nintendo/lu-ye-xian-zong-241372","https://romsmania.cc/statics/assets/covers/nintendo/lu-ye-xian-zong-(chinese)-nintendo.png","Lu Ye Xian Zong","200.9KB","China","Adventure","1,391","4.3","3","Download","https://romsmania.cc/download/roms/nintendo/lu-ye-xian-zong-241372","https://s2roms.cc/s3roms/Nintendo/UNK/Lu%20Ye%20Xian%20Zong%20%28Chinese%29.zip"
"1613991253-4862","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=114","Star Wars - The Empire Strikes Back","https://romsmania.cc/roms/nintendo/star-wars-the-empire-strikes-back-242276","https://romsmania.cc/statics/assets/covers/nintendo/45031front-4368.jpg","Star Wars - The Empire Strikes Back","298.9KB","USA","null","5,700","4.7","8","Download","https://romsmania.cc/download/roms/nintendo/star-wars-the-empire-strikes-back-242276","https://s2roms.cc/s3roms/Nintendo/USA/P-T/Star%20Wars%20-%20The%20Empire%20Strikes%20Back%20%28U%29.zip"
"1614002445-6411","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=37","Drop Zone","https://romsmania.cc/roms/nintendo/drop-zone-240721","https://romsmania.cc/statics/assets/covers/nintendo/drop-zone-nintendo.jpg","Drop Zone","33.0KB","Europe","Action, Adventure","1,972","3.8","7","Download","https://romsmania.cc/download/roms/nintendo/drop-zone-240721","https://s2roms.cc/s3roms/Nintendo/USA/D-F/Drop%20Zone%20%28E%29.zip"
"1614002267-6383","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=38","Elevator Action","https://romsmania.cc/roms/nintendo/elevator-action-240749","https://romsmania.cc/statics/assets/covers/nintendo/elevator-action-nintendo.jpg","Elevator Action","20.7KB","Japan","Action","4,874","3.9","32","Download","https://romsmania.cc/download/roms/nintendo/elevator-action-240749","https://s2roms.cc/s3roms/Nintendo/Pirate/Elevator%20Action%20%28J%29%20%5Bp1%5D.zip"
"1613995077-5308","https://romsmania.cc/roms/nintendo/search?orderBy=name&orderAsc=1&page=92","Pacmania","https://romsmania.cc/roms/nintendo/pacmania-241826","https://romsmania.cc/statics/assets/covers/nintendo/pacmania-nintendo.jpg","Pacmania","33.6KB","USA","Misc","10,996","4.2","61","Download","https://romsmania.cc/download/roms/nintendo/pacmania-241826","https://s2roms.cc/s3roms/Nintendo/USA/P-T/Pacmania%20%28U%29.zip"
